CHROM	START	END	BRCA_METH	BRCA_DEPTH	CEAD_METH	CEAD_DEPTH	CESC_METH	CESC_DEPTH	COAD_METH	COAD_DEPTH	OV_METH	OV_DEPTH	READ_METH	READ_DEPTH	bcell_METH	bcell_DEPTH	cd4tcell_METH	cd4tcell_DEPTH	cd8tcell_METH	cd8tcell_DEPTH	erythroblast_METH	erythroblast_DEPTH	monocyte_METH	monocyte_DEPTH	naturalkillercell_METH	naturalkillercell_DEPTH	neutrophil_METH	neutrophil_DEPTH
chr4	46389352	46389517	15.0	1123	53.0	88	101.0	121	33.0	538	19.0	102	1.0	295	127.0	1412	176.0	5100	45.0	1620	30.0	2138	24.0	1715	44.0	1736	94.0	6226
chr5	1518193	1519704	6181.0	6928	301.0	342	297.0	321	2273.0	2562	527.0	618	1328.0	1507	3953.0	4267	14197.0	14886	4381.0	5286	5295.0	6176	5998.0	6230	1028.0	5558	20863.0	22208
chr5	1874573	1875097	2613.0	4105	41.0	183	56.0	185	274.0	1217	6.0	242	42.0	768	68.0	2530	314.0	5575	137.0	3086	56.0	2528	127.0	2956	115.0	3111	411.0	11201
chr5	14414655	14415130	1671.0	1865	82.0	96	99.0	109	429.0	558	158.0	175	408.0	462	754.0	1051	1117.0	1317	244.0	507	633.0	695	978.0	1012	660.0	742	2733.0	2824
chr5	14745474	14746076	2040.0	2325	107.0	118	200.0	226	684.0	732	170.0	192	501.0	568	1205.0	1611	2776.0	3734	814.0	1661	1874.0	2004	2010.0	2216	343.0	2209	5911.0	7553
chr5	17443877	17444294	1978.0	2233	120.0	135	93.0	134	525.0	650	163.0	205	372.0	431	1185.0	1251	2517.0	2589	1381.0	1453	996.0	1111	747.0	1477	1494.0	1598	127.0	5172
chr5	40681016	40681917	4492.0	6803	147.0	358	305.0	372	2446.0	4626	253.0	632	6.0	1910	67.0	8478	155.0	30623	15.0	9754	745.0	18261	111.0	12457	21.0	10672	300.0	40982
chr5	42991785	42993434	6660.0	12914	97.0	622	2.0	536	88.0	4665	66.0	969	38.0	3156	45.0	11800	48.0	37838	9.0	15683	94.0	21695	5.0	16869	12.0	17591	67.0	59570
chr5	43017867	43019166	5701.0	11662	96.0	539	12.0	508	153.0	4617	186.0	951	84.0	2817	104.0	11320	118.0	36302	42.0	13668	87.0	22129	45.0	15349	38.0	15697	281.0	53735
chr5	56168239	56168441	1139.0	1324	78.0	83	69.0	87	312.0	373	83.0	117	198.0	253	750.0	824	479.0	494	526.0	549	286.0	296	56.0	536	494.0	506	2129.0	2258
chr5	133933692	133934577	1241.0	1419	45.0	51	26.0	30	364.0	481	85.0	100	243.0	329	181.0	1297	2581.0	3386	922.0	1247	1544.0	1666	1542.0	1642	794.0	1319	4309.0	4693
chr5	150520841	150521710	3041.0	3538	168.0	204	35.0	111	1485.0	1635	290.0	364	781.0	879	3097.0	3243	10318.0	10835	4215.0	4445	3638.0	4206	4621.0	5131	4235.0	4591	14340.0	16789
chr5	172380787	172381435	759.0	2340	95.0	137	94.0	137	882.0	1073	158.0	215	539.0	695	1944.0	2098	5198.0	5387	1553.0	1624	2314.0	2560	1940.0	2126	1667.0	1804	4364.0	6283
chr5	174721692	174722134	315.0	1321	53.0	89	20.0	48	87.0	427	18.0	136	22.0	360	255.0	1181	387.0	1716	204.0	994	59.0	629	215.0	1196	194.0	1018	666.0	4039
chr6	341064	341666	3024.0	3878	131.0	155	222.0	250	1980.0	2293	326.0	386	863.0	1037	3216.0	4520	16036.0	16563	5283.0	5486	6754.0	7558	1996.0	6553	4905.0	5163	11829.0	19727
chr6	1080541	1080737	1178.0	1357	28.0	48	67.0	69	542.0	590	77.0	92	242.0	271	1039.0	1093	4127.0	4300	1448.0	1506	1383.0	1540	1816.0	1877	1580.0	1663	6213.0	6548
chr6	2867662	2868876	4765.0	5365	261.0	291	363.0	428	801.0	945	145.0	459	638.0	801	2026.0	2220	1070.0	1093	1147.0	1188	496.0	528	1094.0	1359	1026.0	1108	3442.0	5378
chr6	10720638	10720829	250.0	914	30.0	56	55.0	66	353.0	641	37.0	99	50.0	272	459.0	1098	967.0	4276	463.0	1586	428.0	2096	320.0	1749	556.0	1665	1793.0	5365
chr6	10771600	10771705	725.0	1029	30.0	32	54.0	61	214.0	330	82.0	83	123.0	164	548.0	558	1941.0	2115	697.0	746	119.0	915	849.0	871	857.0	957	3165.0	3267
chr6	19837320	19838280	1277.0	7387	56.0	362	65.0	179	2892.0	3856	28.0	812	27.0	1765	1258.0	7555	2621.0	35215	1118.0	12007	151.0	17555	289.0	13429	501.0	13321	940.0	46246
chr6	27873342	27873884	999.0	3390	106.0	166	0.029693364648038807	145	271.0	1136	14.0	286	90.0	898	26.0	2844	28.0	6741	12.0	3570	34.0	4624	16.0	3963	8.0	3683	87.0	14113
chr6	42565596	42565719	79.0	904	0.2592583645367798	82	1.0	56	19.0	303	12.0	80	21.0	213	170.0	662	565.0	1413	113.0	576	632.0	837	278.0	725	99.0	633	694.0	1795
chr6	43141825	43142026	498.0	572	31.0	34	32.67895346144941	32	212.0	259	81.0	83	82.0	91	486.0	509	1328.0	1681	242.0	716	723.0	787	658.0	677	594.0	706	2364.0	2491
chr6	69921583	69921757	4053.0	4301	394.0	589	916.0	1212	1530.0	1607	698.0	4384	453.0	812	1268.0	2182	2240.0	2278	668.0	682	1054.0	1121	759.0	790	728.0	749	3470.0	3573
chr6	112367474	112367547	510.0	626	6.0	36	50.0	68	229.0	275	50.0	69	109.0	125	352.0	510	611.0	987	305.0	523	267.0	522	312.0	654	335.0	587	1277.0	2287
chr6	112879707	112880469	1220.0	1380	95.70188066758406	95	67.0	68	406.0	655	182.0	199	152.0	430	1825.0	2083	4636.0	5052	1925.0	2072	1689.0	2011	2310.0	2509	2269.0	2536	8089.0	9251
chr6	118617479	118617751	982.0	1088	65.0	70	59.0	64	499.0	547	25.0	126	110.0	200	598.0	961	2443.0	2642	880.0	926	666.0	1171	668.0	1148	798.0	955	2041.0	3601
chr6	166556989	166557087	50.0	413	0.10121523089386984	21	0.10121523089386984	22	20.0	189	5.0	53	3.0	134	64.0	573	220.0	1373	67.0	525	443.0	567	1.0	575	59.0	634	5.0	2327
chr6	166681936	166682521	1110.0	1301	63.0	69	95.0	117	283.0	375	99.0	130	76.0	392	864.0	954	936.0	978	654.0	707	324.0	425	723.0	759	538.0	591	711.0	2047
chr6	167113564	167114316	1127.0	1399	66.0	108	74.0	127	470.0	635	116.0	191	310.0	459	103.0	2068	2380.0	2487	844.0	885	1116.0	1294	1199.0	1271	851.0	913	4135.0	4429
chr7	2076899	2077219	2559.0	2759	122.0	124	37.51824943781353	37	1590.0	1864	143.0	168	443.0	492	2061.0	2140	11763.0	12057	2677.0	2741	5912.0	6216	2231.0	3517	3300.0	3401	867.0	16513
chr7	2792346	2793418	3165.0	3532	251.0	275	76.0	93	998.0	1098	230.0	316	633.0	731	2083.0	2156	5928.0	6112	2044.0	2130	2690.0	2944	1217.0	2614	2161.0	2264	553.0	8467
chr7	30437865	30438268	1043.0	1161	43.0	51	41.0	48	569.0	650	89.0	104	273.0	307	1142.0	1206	4068.0	4176	1612.0	1678	1708.0	1874	948.0	1699	1774.0	1842	1205.0	6172
chr7	65572768	65572851	651.0	1637	37.0	52	36.0	61	136.0	436	15.0	166	87.0	543	44.0	2432	40.0	6327	13.0	1467	7.0	2382	7.0	1435	0.03815358434375665	1481	48.0	5086
chr7	91266854	91267560	3316.0	4033	171.0	240	68.0	208	1152.0	1231	199.0	330	937.0	1069	2617.0	2778	6453.0	7252	2693.0	3011	1076.0	3148	3117.0	3649	2952.0	3214	10989.0	12644
chr7	100379538	100379601	359.0	405	31.0	32	21.0	26	111.0	139	23.0	29	29.0	93	269.0	272	383.0	385	148.0	150	115.0	136	2.0	164	209.0	212	3.0	822
chr7	100816553	100816901	899.0	1028	53.0	57	42.0	51	135.0	431	85.0	87	200.0	312	1032.0	1078	2081.0	2142	1077.0	1143	964.0	1039	830.0	1267	1237.0	1330	3179.0	4441
chr7	101754860	101755015	202.0	1351	3.0	39	14.0	52	31.0	560	5.0	103	25.0	379	280.0	1290	901.0	2925	344.0	1578	958.0	1564	256.0	1687	252.0	1857	853.0	6057
chr7	134992920	134993233	772.0	906	46.0	55	58.0	77	190.0	238	106.0	144	136.0	184	284.0	573	90.0	145	10.0	162	151.0	175	362.0	405	157.0	193	1138.0	1255
chr7	135790367	135790581	780.0	859	32.0	38	43.0	44	210.0	315	65.0	82	160.0	226	615.0	668	1409.0	1487	928.0	978	592.0	681	638.0	944	1087.0	1178	382.0	3956
chr7	139716269	139716490	918.0	991	27.0	34	45.0	47	435.0	456	96.0	100	253.0	275	883.0	903	3298.0	3385	792.0	826	1317.0	1440	1138.0	1164	1112.0	1158	4691.0	4850
chr7	149101820	149102040	1925.0	2046	101.0	116	72.0	78	756.0	836	167.0	179	324.0	407	992.0	1052	3922.0	4087	1724.0	1830	1700.0	1882	1587.0	1654	2036.0	2128	6915.0	7237
chr7	157177428	157178137	1577.0	1674	107.0	115	135.0	143	556.0	605	170.0	193	440.0	493	1514.0	1774	2814.0	2921	1209.0	1243	495.0	941	1734.0	1789	1230.0	1284	5095.0	5260
chr7	157297987	157298857	1825.0	2265	116.0	143	127.0	165	679.0	921	160.0	239	268.0	619	1984.0	2393	4695.0	5056	1568.0	1669	2096.0	2442	1175.0	2122	1621.0	1842	3774.0	6455
chr7	158804489	158804827	2531.0	2733	175.0	186	97.0	122	959.0	1059	248.0	260	627.0	685	1495.0	1524	3048.0	3223	788.0	1084	1608.0	1679	1839.0	1885	135.0	1996	5953.0	6137
chr8	673289	673908	2747.0	3343	219.0	250	132.0	157	1638.0	1874	226.0	296	592.0	671	1834.0	1943	11455.0	11935	2591.0	2745	5300.0	5712	64.0	2904	2754.0	2963	11494.0	12481
chr8	38138075	38138246	472.0	512	36.67591706539075	36	23.0	28	141.0	163	14.0	104	84.0	91	313.0	326	917.0	951	340.0	347	421.0	439	224.0	323	332.0	339	921.0	1357
chr8	38787753	38788340	1482.0	3671	22.0	166	8.0	114	1604.0	2169	9.0	455	281.0	817	21.0	3687	36.0	13182	4.0	5675	69.0	6015	4.0	6600	11.0	6067	21.0	19766
chr8	43103265	43103840	1480.0	1672	81.0	92	57.0	61	621.0	676	199.0	204	358.0	385	1149.0	1310	2606.0	2689	1150.0	1186	1301.0	1376	239.0	1360	1214.0	1252	4427.0	4589
chr8	53657113	53658213	1404.0	6586	47.0	297	172.0	255	416.0	2231	478.0	1216	25.0	1477	593.0	5301	1477.0	10331	614.0	4965	313.0	4498	421.0	6332	362.0	5478	1913.0	21620
chr8	53844572	53844638	372.0	443	27.0	28	47.0	51	116.0	121	148.0	158	77.0	89	303.0	351	89.0	359	178.0	246	217.0	223	263.0	290	189.0	279	1115.0	1179
chr8	60865152	60865307	564.0	626	29.694102672889265	29	28.694102672889265	28	203.0	217	112.0	114	181.0	192	618.0	625	630.0	1455	465.0	578	898.0	971	822.0	838	738.0	768	2892.0	2987
chr8	60867822	60868553	2399.0	2689	124.0	164	102.0	126	586.0	667	360.0	413	544.0	654	1292.0	1373	376.0	852	574.0	720	643.0	739	1132.0	1218	865.0	960	3684.0	3902
chr8	96157460	96158082	1470.0	3733	94.0	243	45.0	89	1051.0	1798	65.0	369	516.0	1195	185.0	3304	178.0	7278	108.0	3714	15.0	3102	81.0	5022	76.0	3889	236.0	14163
chr8	98939888	98940337	1512.0	3103	30.0	148	22.0	59	1413.0	1850	14.0	296	23.0	926	71.0	3297	275.0	14602	93.0	4687	36.0	6967	44.0	6291	87.0	5621	114.0	19118
chr8	105318765	105319323	892.0	4764	3.0	218	7.0	92	1364.0	2122	9.0	481	265.0	1228	185.0	4017	134.0	20306	117.0	5835	29.0	8904	15.0	7424	51.0	6919	39.0	24462
chr8	125491391	125491607	588.0	854	42.0	48	54.0	57	209.0	294	80.0	83	124.0	212	569.0	594	2637.0	2704	984.0	1024	1071.0	1192	1080.0	1163	1174.0	1243	7.0	4347
chr8	127810870	127812014	1725.0	2421	147.0	177	132.0	160	438.0	576	133.0	199	490.0	588	1267.0	1350	1984.0	2039	1241.0	1303	846.0	911	741.0	1341	1294.0	1368	384.0	4914
chr8	140572774	140572864	498.0	559	68.0	72	22.0	25	189.0	203	65.73643049327355	65	143.0	156	292.0	300	361.0	406	121.0	279	338.0	356	657.0	665	304.0	371	2074.0	2118
chr8	142322826	142322987	1062.0	1192	40.0	62	1.0	53	709.0	774	83.0	108	282.0	308	896.0	952	4096.0	4343	878.0	954	1968.0	2162	950.0	1167	990.0	1076	2169.0	3196
chr8	142325936	142326624	3831.0	4170	227.0	270	105.0	130	2011.0	2239	293.0	386	670.0	735	1154.0	1716	5659.0	5902	1249.0	1320	2800.0	3142	939.0	3334	1696.0	1836	5168.0	6711
chr9	68894490	68894609	912.0	1042	44.0	52	46.0	60	265.0	288	79.0	95	177.0	213	612.0	743	71.0	434	178.0	284	353.0	363	519.0	533	339.0	381	1554.0	1601
chr9	89404217	89404387	692.0	768	54.0	66	37.675040387722134	37	293.0	337	79.0	92	153.0	175	504.0	766	933.0	1020	160.0	643	661.0	742	979.0	1033	538.0	677	3274.0	3548
chr9	97856996	97858437	2735.0	6348	181.0	424	244.0	340	1366.0	2428	188.0	719	747.0	1883	690.0	6175	998.0	13048	662.0	8330	122.0	6699	438.0	8686	540.0	8391	1383.0	30592
chr9	101485966	101486780	2354.0	4598	2.0	227	20.0	171	65.0	2297	4.0	436	11.0	1103	555.0	5178	681.0	18555	263.0	6896	128.0	8100	33.0	8600	130.0	7891	111.0	26255
